id,front,back,entry_type
slovak-0001,jeden,1,term
slovak-0002,dva,2,term
slovak-0003,tri,3,term
slovak-0004,štyri,4,term
slovak-0005,pät,5,term
slovak-0006,šest',6,term
slovak-0007,sedem,7,term
slovak-0008,osem,8,term
slovak-0009,devät',9,term
slovak-0010,desat',10,term
slovak-0011,jedenást',11,term
slovak-0012,dvanást',12,term
slovak-0013,ešte raz,Again; once more,term
slovak-0014,a do videnia!,And goodbye!,sentence
slovak-0015,dobrý deň,good day,term
slovak-0016,teší ma,pleased to meet you,term
slovak-0017,áno,yes,term
slovak-0018,nie,no,term
slovak-0019,samozrejme,of course ,term
slovak-0020,Slovák,a Slovak man,term
slovak-0021,Slovenka,a Slovak woman,term
slovak-0022,Američan,an American man,term
slovak-0023,Američanka,an American woman,term
slovak-0024,Angličan,an English man,term
slovak-0025,Angličanka,an English woman,term
slovak-0026,máte ... ?,do you have ... ?,sentence
slovak-0027,tu je,here it is,term
slovak-0028,pod'me,let's go,term
slovak-0029,auto,car,term
slovak-0030,čaká,it is waiting,term
slovak-0031,dobre,well; good; fine,term
slovak-0032,tak dobre,right; OK then,term
slovak-0033,kufor,suitcase,term
slovak-0034,tak dobre,so,term
slovak-0035,vonku,outside,term
slovak-0036,ja,I,term
slovak-0037,ty,you,term
slovak-0038,on,he,term
slovak-0039,ona,she,term
slovak-0040,ono,it,term
slovak-0041,to,this; that (n; nom),term
slovak-0042,my,we,term
slovak-0043,vy,you (pl),term
slovak-0044,oni,they (male),term
slovak-0045,ony,they (female; neuter),term
slovak-0046,dievča,girl,term
slovak-0047,diet'a,child,term
slovak-0048,mám,I have,term
slovak-0049,máš,you (s) have,term
slovak-0050,má,he / she / it has,term
slovak-0051,máme,we have,term
slovak-0052,máte,you (pl) have,term
slovak-0053,majú,they have,term
slovak-0054,byt',to be,term
slovak-0055,som,I am,term
slovak-0056,si,you (s) are,term
slovak-0057,je,he / she / it is,term
slovak-0058,sme,we are,term
slovak-0059,ste,you (pl) are,term
slovak-0060,sú,they are,term
slovak-0061,ty si Ján,you are Jan,sentence
slovak-0062,tu som,here I am,term
slovak-0063,sme tu,we are here,sentence
slovak-0064,to je kufor,that is a suitcase,sentence
slovak-0065,máš kufor?,do you have a suitcase?,sentence
slovak-0066,ty si Jana?,are you Jana?,sentence
slovak-0067,si Angličanka?,are you (f) English?,sentence
slovak-0068,ste tam?,are you there?,sentence
slovak-0069,sú doma?,are they at home?,sentence
slovak-0070,je Viera Slovenka?,Is Viera (a) Slovak?,sentence
slovak-0071,je to hrad?,is it a castle?,sentence
slovak-0072,čo je to?,what is that?,sentence
slovak-0073,kde je … ?,where is … ?,sentence
slovak-0074,kto je … ?,who is … ?,sentence
slovak-0075,ako sa volá?,what's his / her name?,sentence
slovak-0076,volá sa … ,his / her name is … ,term
slovak-0077,aj,also,term
slovak-0078,bohužial',unfortunately; regrettably,term
slovak-0079,Bratislavský hrad,Bratislava Castle,term
slovak-0080,čistý; -á; -é,clean; pure,term
slovak-0081,Dunaj,the Danube,term
slovak-0082,mesto,town,term
slovak-0083,modrý; -á; -é,blue,term
slovak-0084,najmä,especially,term
slovak-0085,náš; naša; naše,our,term
slovak-0086,nie je,it is not,sentence
